id,japanese_name,scientific_name,order_name_ja,order_name_en,family_name_ja,family_name_en,genus_name,species_name,subspecies_name,distribution,note
129,ハブ,Protobothrops flavoviridis,ヘビ亜目,Serpentes,クサリヘビ科,Viperidae,,,,奄美群島、沖縄諸島,
130,ツシママムシ,Gloydius tsushimaensis,ヘビ亜目,Serpentes,クサリヘビ科,Viperidae,,,,対馬,
131,ニホンマムシ,Gloydius blomhoffii,ヘビ亜目,Serpentes,クサリヘビ科,Viperidae,,,,北海道、本州、四国、九州と周辺島嶼（屋久島以北、対馬除く）,
132,ヒメハブ,Ovophis okinavensis,ヘビ亜目,Serpentes,クサリヘビ科,Viperidae,,,,奄美群島、沖縄諸島,
133,アカイシサンショウウオ,Hynobius katoi,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,本州中部（静岡、山梨、長野、愛知）,
134,アベサンショウウオ,Hynobius abei,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,北陸・近畿（石川、福井、京都、兵庫）,
135,アマクササンショウウオ,Hynobius amakusaensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,天草上島（熊本）,
136,イシヅチサンショウウオ,Hynobius hirosei,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,四国,
137,エゾサンショウウオ,Hynobius retardatus,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,北海道（島嶼部除く）,
138,オオイタサンショウウオ,Hynobius dunni,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,九州（大分、宮崎、熊本）、四国（高知）,
139,オオスミサンショウウオ,Hynobius osumiensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,大隅半島（鹿児島）,
140,オオダイガハラサンショウウオ,Hynobius boulengeri,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,紀伊半島（三重、奈良、和歌山）,
141,オキサンショウウオ,Hynobius okiensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,隠岐道後（島根）,
142,カスミサンショウウオ,Hynobius nebulosus,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,本州西部（愛知、岐阜、三重、近畿以西の本州）、四国4県、九州（宮崎除く）,
143,クロサンショウウオ,Hynobius nigrescens,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,北陸以東の本州（福井、石川、富山、岐阜、新潟、長野、群馬、栃木、茨城、東北6県）,
144,コガタブチサンショウウオ,Hynobius stejnegeri,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,本州中部（愛知、岐阜）・近畿（京都、兵庫除く）、四国（香川除く）、九州（佐賀、長崎除く）,
145,ソボサンショウウオ,Hynobius shinichisatoi,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,祖母傾山系（大分、宮崎、熊本）,
146,ツシマサンショウウオ,Hynobius tsuensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,対馬,
147,トウキョウサンショウウオ,Hynobius tokyoensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,関東（群馬除く）、東北南部（福島）,
148,トウホクサンショウウオ,Hynobius lichenatus,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,東北6県、関東（栃木、群馬）、北陸（新潟）,
